Make,Type,Model Type,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Hyundai,Export,PC,G80 (RG3),0,15,0,4,10,0,2,18,31,1861,2156,137,4234,2020
Hyundai,Export,PC,G90,121,252,125,306,31,135,51,341,319,255,271,67,2274,2020
Hyundai,Export,RV,Venue,3397,1863,3137,1014,1449,2148,3338,3939,4067,4961,4700,4566,38579,2020
Hyundai,Export,RV,Kona,15392,8090,17262,9920,5441,15498,19461,6851,16354,18184,17655,16303,166411,2020
Hyundai,Export,RV,Kona (HEV),2606,1840,3201,1740,2448,3285,3490,1113,1761,2694,3145,2677,30000,2020
Hyundai,Export,RV,Kona (EV),3321,2066,3662,3486,4321,5627,5555,1582,5997,5767,3718,3561,48663,2020
Hyundai,Export,RV,NE,0,0,0,0,0,0,0,0,0,0,0,4,,2020
Hyundai,Export,RV,Tucson (TL),14964,13026,20065,5358,3106,11645,21385,16225,15643,16529,14470,12117,164533,2020
Hyundai,Export,RV,Tucson (NX4),0,0,1,0,0,0,3,0,12,0,0,5,21,2020
Hyundai,Export,RV,Tucson (NX4 HEV),0,0,0,0,1,0,1,0,4,0,0,1,7,2020
Hyundai,Export,RV,NEXO(FE),75,90,90,122,72,231,89,6,51,33,6,130,995,2020
Hyundai,Export,RV,Santa-Fe (TM),3148,1888,3492,2226,943,2369,2487,514,1039,1547,5567,3396,28616,2020
Hyundai,Export,RV,Santa-Fe (TM HEV),0,0,0,1,0,0,5,0,369,1387,406,423,2591,2020
Hyundai,Export,RV,Santa-Fe (TM PHEV),0,0,0,0,0,0,0,0,0,0,0,6,,2020
Hyundai,Export,RV,Palisade (LX2),5991,4832,7898,6879,6401,8211,9640,8518,8560,8202,8779,8431,92342,2020
Hyundai,Export,RV,GV70,0,0,0,0,0,0,0,1,16,3,0,0,20,2020
Hyundai,Export,RV,GV80,0,3,0,6,11,16,6,22,191,3041,3554,2091,8941,2020
Hyundai,Export,CV,LCV,2632,2430,2960,1647,1975,1428,2219,1826,3071,2720,4314,3146,30368,2020
Hyundai,Export,CV,HCV,574,231,1149,567,514,679,414,668,837,930,888,927,8378,2020
Hyundai,Domestic,PC,Accent (RB),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,PC,Avante (AD),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,PC,Avante (CN7),6104,4725,7681,6666,6168,5167,4692,3950,4352,2978,4847,5969,63299,2021
Hyundai,Domestic,PC,Avante (CN7 HEV),448,399,773,756,529,806,665,385,325,227,501,798,6612,2021
Hyundai,Domestic,PC,Avante (CN7 N),0,0,0,0,0,0,29,112,540,163,93,188,1125,2021
Hyundai,Domestic,PC,IONIQ (AE HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,PC,IONIQ (AE PHEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,PC,IONIQ (AE EV),0,1,0,0,0,0,0,0,0,0,0,0,1,2021
Hyundai,Domestic,PC,i30 (PD),1,0,0,0,0,0,0,0,0,0,0,0,1,2021
Hyundai,Domestic,PC,Veloster (JS),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,PC,Veloster (JS N),45,41,78,42,93,47,29,22,41,26,13,33,510,2021
Hyundai,Domestic,PC,Sonata (LF),1118,1254,2006,1928,1078,2353,827,850,1428,2116,330,1988,17276,2021
Hyundai,Domestic,PC,Sonata (HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,PC,Sonata (PHEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,PC,Sonata (DN8),2114,2316,3806,4598,3538,3112,2348,3173,3063,3394,3794,3141,38397,2021
Hyundai,Domestic,PC,Sonata (DN8 HEV),380,616,421,542,515,662,537,663,512,626,1055,907,7436,2021
Hyundai,Domestic,PC,i40 (VF),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,PC,Grandeur (IG),5844,6155,6588,7293,5769,6830,3936,1968,1293,6311,4582,5538,62107,2021
Hyundai,Domestic,PC,Grandeur (HEV),2237,2408,2629,2391,2033,2653,1311,1717,1923,3137,2336,2202,26977,2021
Hyundai,Domestic,PC,G70,1001,297,654,625,918,942,616,580,385,372,552,487,7429,2021
Hyundai,Domestic,PC,G80,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,PC,G80 (RG3),5650,2714,5252,6010,5584,5357,4993,3576,3757,5583,3671,5964,58111,2021
Hyundai,Domestic,PC,G80 (RG3 EV),0,0,0,0,0,0,35,142,135,536,275,230,1353,2021
Hyundai,Domestic,PC,G90,594,434,597,774,662,398,355,203,261,270,240,301,5089,2021
Hyundai,Domestic,PC,G90 (RS4),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,,,Sub-total,25536,21360,30485,31624,26887,28327,20373,17341,18015,25739,22289,27746,295722,2021
Hyundai,Domestic,RV,Casper (AX),0,0,0,0,0,0,0,0,208,2506,3965,4127,10806,2021
Hyundai,Domestic,RV,Venue,1069,1099,1441,1224,1001,1418,754,965,1163,1003,1194,1165,13496,2021
Hyundai,Domestic,RV,Kona (OS),911,860,1060,839,553,547,606,718,332,648,480,912,8466,2021
Hyundai,Domestic,RV,Kona (OS HEV),277,239,306,258,197,92,90,110,11,264,52,224,2120,2021
Hyundai,Domestic,RV,Kona (OS EV),8,167,809,397,48,0,0,0,0,0,0,0,1429,2021
Hyundai,Domestic,RV,Kona (OS N),0,0,0,0,0,0,3,54,4,63,63,42,229,2021
Hyundai,Domestic,RV,Tucson (TL),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Domestic,RV,Tucson (NX4),4415,4209,3380,3330,2167,2471,2689,2542,1567,1776,2052,2206,32804,2021
Hyundai,Domestic,RV,Tucson (NX4 HEV),2318,1660,1605,1148,821,867,1283,1279,526,1135,1809,1121,15572,2021
Hyundai,Domestic,RV,NEXO(FE),142,568,934,1265,756,751,490,556,939,940,865,296,8502,2021
Hyundai,Domestic,RV,IONIQ 5 (NE),0,0,0,114,1919,3667,3447,3337,2983,3783,2228,1193,22671,2021
Hyundai,Domestic,RV,Santa-Fe (TM),4313,2781,4274,4096,3479,2780,2392,1281,853,2151,1478,2016,31894,2021
Hyundai,Domestic,RV,Santa-Fe (TM HEV),0,0,0,0,0,0,2060,2041,1336,1343,1417,1509,9706,2021
Hyundai,Domestic,RV,Palisade (LX2),3818,4045,5897,5777,5040,4964,4695,4011,3290,2582,4503,3716,52338,2021
Hyundai,Domestic,RV,GV60 (JW),0,0,0,0,0,0,0,0,0,47,406,737,1190,2021
Hyundai,Domestic,RV,GV70 (JK),2287,2686,5093,4161,4336,4138,3792,2575,1805,2892,3379,3850,40994,2021
Hyundai,Domestic,RV,GV80 (JX),1965,1190,2470,2321,1531,2070,2159,1231,1290,1828,3233,3303,24591,2021
Hyundai,Domestic,CV,LCV,10242,8994,13104,10540,10506,13611,12822,10987,7819,6817,10319,9889,125650,2021
Hyundai,Domestic,CV,HCV,2200,2244,2952,3125,2815,2704,2201,2006,1716,2296,2339,2060,28658,2021
Hyundai,Export,PC,Avante (CN7),9886,7772,11432,10892,6882,10958,7580,7913,9243,8016,10070,12130,112774,2021
Hyundai,Export,PC,Avante (CN7 HEV),1374,769,973,808,321,647,1193,781,420,712,535,1195,9728,2021
Hyundai,Export,PC,Avante (CN7 N),0,0,3,0,5,0,3,0,34,314,303,477,1139,2021
Hyundai,Export,PC,Avante (AD),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Export,PC,IONIQ (AE HEV),2873,2016,2381,2659,2334,2547,3211,2420,2629,3627,3526,2386,32609,2021
Hyundai,Export,PC,IONIQ (AE PHEV),846,665,834,793,633,458,390,343,349,630,453,674,7068,2021
Hyundai,Export,PC,IONIQ (AE EV),1246,1280,1195,761,788,799,825,252,626,594,320,391,9077,2021
Hyundai,Export,PC,i30 (PD),1821,1400,1480,1404,1604,1811,2284,1265,1366,1707,881,1204,18227,2021
Hyundai,Export,PC,Veloster (JS),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Export,PC,Veloster (JS N),285,211,331,300,114,173,211,60,368,136,52,311,2552,2021
Hyundai,Export,PC,Sonata (LF),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Export,PC,Sonata (HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Export,PC,Sonata (PHEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Export,PC,Sonata (DN8),852,2693,2279,3983,3082,2496,2914,1608,1189,4592,2360,3598,31646,2021
Hyundai,Export,PC,Sonata (DN8 HEV),1271,713,922,2118,831,556,1080,830,814,828,874,703,11540,2021
Hyundai,Export,PC,i40 (VF),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Export,PC,Grandeur (IG),212,180,49,93,2,916,798,317,532,410,430,455,4394,2021
Hyundai,Export,PC,Grandeur (HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Export,PC,G70,321,79,1916,1091,946,1444,1076,696,1258,929,1076,1676,12508,2021
Hyundai,Export,PC,G80,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
Hyundai,Export,PC,G80 (RG3),445,297,654,755,665,616,835,250,345,498,479,232,6071,2021
Hyundai,Export,PC,G80 (RG3 EV),0,0,0,0,7,5,2,1,0,2,13,1,31,2021
Hyundai,Export,PC,G90,319,76,200,282,297,128,144,52,67,53,331,174,2123,2021
Hyundai,Export,PC,G90 (RS4),0,0,0,0,0,0,0,0,0,1,0,3,4,2021
Hyundai,Export,RV,Venue,5348,4539,5543,4322,3401,4340,5255,3440,4559,4515,5802,5455,56519,2021
Hyundai,Export,RV,Kona (OS),13315,15811,14540,13023,7996,8694,10395,11434,13378,13725,12041,12283,146635,2021
Hyundai,Export,RV,Kona (OS HEV),3291,3083,3645,2341,1466,586,532,556,1171,1980,1316,2728,22695,2021
Hyundai,Export,RV,Kona (OS EV),2808,2047,2573,1859,1589,1057,1317,1107,1486,1941,1616,1414,20814,2021
Hyundai,Export,RV,Kona (OS N),1,0,7,1,0,356,250,314,72,280,443,461,2185,2021
Hyundai,Export,RV,Tucson (TL),10618,1233,5,3,0,0,0,0,0,0,0,0,11859,2021
Hyundai,Export,RV,Tucson (NX4),14,2781,8350,8840,7708,7038,8488,4467,4205,7415,6517,7137,72960,2021
Hyundai,Export,RV,Tucson (NX4 HEV),0,401,3758,2614,1348,2027,2961,2160,2012,3513,3627,3780,28201,2021
Hyundai,Export,RV,Tucson (NX4 PHEV),3,0,0,0,2,0,0,222,487,615,584,462,2375,2021
Hyundai,Export,RV,NEXO(FE),94,103,210,119,142,51,99,54,3,70,81,92,1118,2021
Hyundai,Export,RV,IONIQ 5 (NE),5,3,6,3091,3416,4455,4621,3369,4084,4967,6872,8346,43235,2021
Hyundai,Export,RV,Santa-Fe (TM),4031,3671,3108,2803,2708,3050,2371,2011,2329,1938,2996,4365,35381,2021
Hyundai,Export,RV,Santa-Fe (TM HEV),1455,249,2331,1580,2047,668,1108,410,593,1375,948,966,13730,2021
Hyundai,Export,RV,Santa-Fe (TM PHEV),286,426,1171,546,582,476,1142,934,886,1118,977,966,9510,2021
Hyundai,Export,RV,Palisade (LX2),9657,6652,9521,9091,7082,9401,8929,8065,7640,9235,10643,9434,105350,2021
Hyundai,Export,RV,GV60,0,0,0,0,0,8,0,2,4,7,3,0,24,2021
Hyundai,Export,RV,GV70,5,2,157,2633,2092,1872,2313,1812,1556,2528,1750,1696,18416,2021
Hyundai,Export,RV,GV80,2388,1854,2632,2771,1889,1706,1911,1583,1905,2552,683,1607,23481,2021
Hyundai,Export,CV,LCV,3806,2814,4439,1798,1642,3086,2979,2768,2679,2506,2563,2826,33906,2021
Hyundai,Export,CV,HCV,594,574,859,762,1003,1027,892,660,705,1110,956,1023,10165,2021
Hyundai,Domestic,PC,Avante (CN7),4366,2846,2956,5143,3911,2578,3927,1911,3967,5008,5041,7137,48791,2022
Hyundai,Domestic,PC,Avante (CN7 HEV),733,519,534,687,636,565,562,371,356,492,560,960,6975,2022
Hyundai,Domestic,PC,Avante (CN7 N),338,332,402,552,371,167,208,124,131,115,99,138,2977,2022
Hyundai,Domestic,PC,IONIQ (AE HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Hyundai,Domestic,PC,IONIQ (AE PHEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Hyundai,Domestic,PC,IONIQ (AE EV),0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Hyundai,Domestic,PC,Veloster (JS N),21,26,30,22,34,29,17,4,0,0,0,0,183,2022
Hyundai,Domestic,PC,Sonata (LF),141,1199,1054,1509,1677,827,1511,1513,1963,1829,1693,1463,16379,2022
Hyundai,Domestic,PC,Sonata (DN8),1748,2486,2629,2242,2196,3261,2616,2463,2411,1280,1672,2502,27506,2022
Hyundai,Domestic,PC,Sonata (DN8 HEV),147,491,634,414,117,629,285,356,211,214,374,551,4423,2022
Hyundai,Domestic,PC,Grandeur (IG),1663,3155,3888,3311,4800,5094,4764,3201,2891,3219,1991,270,38247,2022
Hyundai,Domestic,PC,Grandeur (IG HEV),143,1335,2775,1881,2802,2825,2013,1405,1752,1442,740,7,19120,2022
Hyundai,Domestic,PC,Grandeur (GN7),0,0,0,0,0,0,0,0,0,0,1023,7486,8509,2022
Hyundai,Domestic,PC,Grandeur (GN7 HEV),0,0,0,0,0,0,0,0,0,0,0,1154,1154,2022
Hyundai,Domestic,PC,IONIQ 6 (CE),0,0,0,0,0,0,0,8,2652,3667,3905,1057,11289,2022
Hyundai,Domestic,PC,G70 (IK),533,565,416,489,357,437,374,243,233,416,470,751,5284,2022
Hyundai,Domestic,PC,G70 S/B (IK S/B),0,0,0,0,0,51,200,115,126,124,106,81,803,2022
Hyundai,Domestic,PC,G80 (RG3),5323,4543,3640,3793,3994,3222,2758,2818,2695,2895,4035,4763,44479,2022
Hyundai,Domestic,PC,G80 (RG3 EV),178,112,327,230,336,408,208,262,168,187,189,70,2675,2022
Hyundai,Domestic,PC,G90,11,0,0,0,0,0,0,0,0,0,0,0,11,2022
Hyundai,Domestic,PC,G90 (RS4),67,1073,1897,2129,2329,2456,2274,2422,2217,2818,1364,2172,23218,2022
Hyundai,Domestic,RV,Casper (AX),3948,3304,3725,3420,4402,4401,4478,3302,4032,3908,5573,3509,48002,2022
Hyundai,Domestic,RV,Venue (QX),925,615,673,790,776,896,548,376,673,702,432,1019,8425,2022
Hyundai,Domestic,RV,Kona (OS),259,667,543,543,605,528,470,576,458,354,421,490,5914,2022
Hyundai,Domestic,RV,Kona (OS HEV),194,225,169,194,135,205,160,147,163,124,253,237,2206,2022
Hyundai,Domestic,RV,Kona (OS EV),0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Hyundai,Domestic,RV,Kona (OS N),26,31,47,36,19,25,18,20,11,15,19,1,268,2022
Hyundai,Domestic,RV,Tucson (NX4),2728,2034,2072,3273,2258,1724,1093,1398,1493,1052,1415,1890,22430,2022
Hyundai,Domestic,RV,Tucson (NX4 HEV),891,650,668,902,1464,1140,455,564,959,677,897,1193,10460,2022
Hyundai,Domestic,RV,NEXO (FE),319,650,445,1294,1270,907,573,980,1083,1101,1096,446,10164,2022
Hyundai,Domestic,RV,IONIQ 5 (NE),376,3995,3208,2963,3054,1507,3102,1998,2396,2169,1920,711,27399,2022
Hyundai,Domestic,RV,Santa-Fe (TM),1039,831,988,1139,1376,1657,914,1352,1312,1137,1460,1916,15121,2022
Hyundai,Domestic,RV,Santa-Fe (TM HEV),1120,849,872,858,1101,1256,447,1182,1015,1585,1404,1895,13584,2022
Hyundai,Domestic,RV,Palisade (LX2),4302,3900,4501,4461,4110,5760,3113,3269,3464,4147,4366,4344,49737,2022
Hyundai,Domestic,RV,GV60 (JW),177,349,685,796,724,670,536,260,332,493,405,212,5639,2022
Hyundai,Domestic,RV,GV70 (JK),2415,2592,1813,1686,2315,1734,1894,1673,2108,2240,2598,3477,26545,2022
Hyundai,Domestic,RV,GV70 (JK EV),0,0,94,414,544,485,337,331,240,173,234,100,2952,2022
Hyundai,Domestic,RV,GV80 (JX),1876,1782,1959,1753,1635,1745,1931,1493,1527,1945,2214,3579,23439,2022
Hyundai,Domestic,CV,LCV,8253,10052,6804,10810,11213,9431,11984,10749,11317,12481,10345,12431,125870,2022
Hyundai,Domestic,CV,HCV,1945,1802,2435,1681,2812,2890,2535,2338,2554,2727,2612,2375,28706,2022
Hyundai,Export,PC,Avante (CN7),11565,9129,11383,12394,10046,12032,14914,5617,14177,12625,13345,14891,142118,2022
Hyundai,Export,PC,Avante (CN7 HEV),2475,2036,1817,2516,1796,2589,3040,1808,3215,3158,2316,3622,30388,2022
Hyundai,Export,PC,Avante (CN7 N),650,367,480,590,569,576,768,283,884,816,929,813,7725,2022
Hyundai,Export,PC,IONIQ (AE HEV),1959,964,1252,1156,615,1569,1680,169,36,52,0,0,9452,2022
Hyundai,Export,PC,IONIQ (AE PHEV),587,297,464,291,202,92,170,1,0,0,0,0,2104,2022
Hyundai,Export,PC,IONIQ (AE EV),470,677,544,764,746,596,792,18,0,0,0,0,4607,2022
Hyundai,Export,PC,i30 (PD),1835,2078,1273,1410,1265,1142,1157,676,975,1045,1247,1049,15152,2022
Hyundai,Export,PC,Veloster (JS N),317,332,313,252,369,253,311,4,5,0,0,0,2156,2022
Hyundai,Export,PC,Sonata (DN8),731,2389,4320,5945,7179,4726,9696,8810,9016,6574,6312,6407,72105,2022
Hyundai,Export,PC,Sonata (DN8 HEV),229,582,736,789,533,624,968,998,994,550,1432,1191,9626,2022
Hyundai,Export,PC,Grandeur (IG),8,746,609,556,427,316,594,206,429,244,586,107,4828,2022
Hyundai,Export,PC,Grandeur (IG HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Hyundai,Export,PC,Grandeur (GN7),0,0,0,0,0,0,0,0,0,0,0,0,0,2022
