Make,Type,Model Type,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Hyundai,Export,PC,Avante HEV (CN7),0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,543.0,562.0,2020
Hyundai,Export,PC,Avante (AD),10191.0,7269.0,11577.0,5980.0,6615.0,6048.0,5010.0,203.0,1.0,27.0,15.0,0.0,52936.0,2020
Hyundai,Export,PC,IONIQ (AE HEV),4427.0,1545.0,2945.0,1149.0,2285.0,2964.0,2003.0,1956.0,2595.0,3171.0,1955.0,2258.0,29253.0,2020
Hyundai,Export,PC,IONIQ (AE PHEV),475.0,596.0,985.0,663.0,659.0,1017.0,920.0,526.0,682.0,766.0,587.0,408.0,8284.0,2020
Hyundai,Export,PC,IONIQ (AE EV),1403.0,1056.0,1749.0,1131.0,1093.0,1011.0,824.0,939.0,520.0,852.0,910.0,887.0,12375.0,2020
Hyundai,Export,PC,i30 (PD),2372.0,1472.0,2803.0,1087.0,1446.0,1090.0,1529.0,1314.0,2099.0,1649.0,2667.0,1608.0,21136.0,2020
Hyundai,Export,PC,Veloster (JS),655.0,29.0,722.0,308.0,17.0,578.0,5.0,0.0,0.0,0.0,0.0,0.0,2314.0,2020
Hyundai,Export,PC,Veloster (JS N),154.0,15.0,444.0,100.0,76.0,336.0,37.0,31.0,262.0,272.0,269.0,279.0,2275.0,2020
Hyundai,Export,PC,Coupe (BK),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Hyundai,Export,PC,Sonata (LF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Hyundai,Export,PC,Sonata (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Hyundai,Export,PC,Sonata (PHEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Hyundai,Export,PC,Sonata (DN8),3355.0,1527.0,2274.0,1071.0,582.0,101.0,286.0,278.0,423.0,1565.0,987.0,1071.0,13520.0,2020
Hyundai,Export,PC,Sonata (DN8 HEV),0.0,152.0,753.0,722.0,989.0,868.0,1598.0,1229.0,1192.0,1809.0,1210.0,1477.0,11999.0,2020
Hyundai,Export,PC,i40 (VF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Hyundai,Export,PC,Grandeur (IG),0.0,1.0,280.0,495.0,110.0,148.0,145.0,500.0,183.0,805.0,426.0,306.0,3399.0,2020
Hyundai,Export,PC,Grandeur (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Hyundai,Export,PC,G70,885.0,87.0,1269.0,281.0,83.0,67.0,993.0,859.0,1367.0,1548.0,733.0,166.0,8338.0,2020
Hyundai,Export,PC,G80,172.0,77.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,2020
Hyundai,Export,PC,G80 (RG3),0.0,15.0,0.0,4.0,10.0,0.0,2.0,18.0,31.0,1861.0,2156.0,137.0,4234.0,2020
Hyundai,Export,PC,G90,121.0,252.0,125.0,306.0,31.0,135.0,51.0,341.0,319.0,255.0,271.0,67.0,2274.0,2020
Hyundai,Export,RV,Venue,3397.0,1863.0,3137.0,1014.0,1449.0,2148.0,3338.0,3939.0,4067.0,4961.0,4700.0,4566.0,38579.0,2020
Hyundai,Export,RV,Kona,15392.0,8090.0,17262.0,9920.0,5441.0,15498.0,19461.0,6851.0,16354.0,18184.0,17655.0,16303.0,166411.0,2020
Hyundai,Export,RV,Kona (HEV),2606.0,1840.0,3201.0,1740.0,2448.0,3285.0,3490.0,1113.0,1761.0,2694.0,3145.0,2677.0,30000.0,2020
Hyundai,Export,RV,Kona (EV),3321.0,2066.0,3662.0,3486.0,4321.0,5627.0,5555.0,1582.0,5997.0,5767.0,3718.0,3561.0,48663.0,2020
Hyundai,Export,RV,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,2020
Hyundai,Export,RV,Tucson (TL),14964.0,13026.0,20065.0,5358.0,3106.0,11645.0,21385.0,16225.0,15643.0,16529.0,14470.0,12117.0,164533.0,2020
Hyundai,Export,RV,Tucson (NX4),0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,5.0,21.0,2020
Hyundai,Export,RV,Tucson (NX4 HEV),0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,7.0,2020
Hyundai,Export,RV,NEXO(FE),75.0,90.0,90.0,122.0,72.0,231.0,89.0,6.0,51.0,33.0,6.0,130.0,995.0,2020
Hyundai,Export,RV,Santa-Fe (TM),3148.0,1888.0,3492.0,2226.0,943.0,2369.0,2487.0,514.0,1039.0,1547.0,5567.0,3396.0,28616.0,2020
Hyundai,Export,RV,Santa-Fe (TM HEV),0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,369.0,1387.0,406.0,423.0,2591.0,2020
Hyundai,Export,RV,Santa-Fe (TM PHEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,2020
Hyundai,Export,RV,Palisade (LX2),5991.0,4832.0,7898.0,6879.0,6401.0,8211.0,9640.0,8518.0,8560.0,8202.0,8779.0,8431.0,92342.0,2020
Hyundai,Export,RV,GV70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0,0.0,0.0,20.0,2020
Hyundai,Export,RV,GV80,0.0,3.0,0.0,6.0,11.0,16.0,6.0,22.0,191.0,3041.0,3554.0,2091.0,8941.0,2020
Hyundai,Export,CV,LCV,2632.0,2430.0,2960.0,1647.0,1975.0,1428.0,2219.0,1826.0,3071.0,2720.0,4314.0,3146.0,30368.0,2020
Hyundai,Export,CV,HCV,574.0,231.0,1149.0,567.0,514.0,679.0,414.0,668.0,837.0,930.0,888.0,927.0,8378.0,2020
Hyundai,Domestic,PC,Accent (RB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,PC,Avante (AD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,PC,Avante (CN7),6104.0,4725.0,7681.0,6666.0,6168.0,5167.0,4692.0,3950.0,4352.0,2978.0,4847.0,5969.0,63299.0,2021
Hyundai,Domestic,PC,Avante (CN7 HEV),448.0,399.0,773.0,756.0,529.0,806.0,665.0,385.0,325.0,227.0,501.0,798.0,6612.0,2021
Hyundai,Domestic,PC,Avante (CN7 N),0.0,0.0,0.0,0.0,0.0,0.0,29.0,112.0,540.0,163.0,93.0,188.0,1125.0,2021
Hyundai,Domestic,PC,IONIQ (AE HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,PC,IONIQ (AE PHEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,PC,IONIQ (AE EV),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021
Hyundai,Domestic,PC,i30 (PD),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021
Hyundai,Domestic,PC,Veloster (JS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,PC,Veloster (JS N),45.0,41.0,78.0,42.0,93.0,47.0,29.0,22.0,41.0,26.0,13.0,33.0,510.0,2021
